ID,SORTIMENT,TYPERING,JAAR_VAN_AANPLANT,STRAATNAAM,WOONPLAATS,RD_XCOORD,RD_YCOORD,longitude,latitude
1045611,Aesculus hippocastanum,Monumentale Boom Landel. Lijst,1915,Aalsmeerderdijk,Rijsenhout,"109474,844","474861,349",4.72039750298581,52.2598967383805
1045612,,Monumentale Boom Landel. Lijst,1915,Aalsmeerderdijk,Rijsenhout,"109507,999","474858,159",4.72088351673659,52.2598708022886
980006,Aesculus hippocastanum,Monumentale Boom,1900,Kromme Spieringweg,Vijfhuizen,"108672,036","487122,383",4.70695724419608,52.3700202486053
842550,Tilia x europaea,Waardevolle Boom,1981,Fortweg,Hoofddorp,"107356,358","479887,687",4.68866223041404,52.3048899932546
1103537,Carpinus betulus,Monumentale Boom,1950,Rijstvogelstraat,Badhoevedorp,"114413,426","483293,637",4.79171593267345,52.3360646857361
1011476,Quercus robur,Monumentale Boom,1955,Plantsoenlaan,Zwanenburg,"111126,692","488063,145",4.74287467199613,52.3786761037095
657101,Populus canadensis,Monumentale Boom,1984,Bosschollenpad,Hoofddorp,"105224,26","481413,98",4.65717932213146,52.318418287987
850484,Tilia platyphyllos,Monumentale Boom,1945,Kruislaan,Hoofddorp,"107465,613","479890,518",4.69026358995772,52.3049248699753
850483,Tilia platyphyllos,Monumentale Boom,1945,Kruislaan,Hoofddorp,"107468,141","479878,676",4.69030231847108,52.3048186636032
850481,Tilia platyphyllos,Monumentale Boom,1945,Kruislaan,Hoofddorp,"107475,913","479871,671",4.6904172469099,52.3047563797216
788206,Tilia x europaea 'Pallida',Gedenkboom,2000,Anne Franklaan,Hoofddorp,"106088,185","479391,908",4.6701417131749,52.3003233328204
850477,Tilia platyphyllos,Monumentale Boom,1945,Kruislaan,Hoofddorp,107495,"479864,063",4.69069814525034,52.3046896520116
847830,Tilia platyphyllos,Monumentale Boom,1945,Fortweg,Hoofddorp,"107476,556","480037,16",4.69040339290226,52.3062436896549
847826,Tilia platyphyllos,Monumentale Boom,1945,Fortweg,Hoofddorp,"107484,97","480046,536",4.69052543320283,52.3063286775597
639607,Tilia x europaea,Monumentale Boom,1920,IJweg,Hoofddorp,"105578,06","480728,002",4.66246823724934,52.3122852808365
847831,Tilia platyphyllos,Monumentale Boom,1945,Fortweg,Hoofddorp,"107470,731","480030,575",4.690318918079,52.3061840077179
881464,Tilia platyphyllos,Monumentale Boom,1963,Hoofdweg,Hoofddorp,"107747,262","480067,614",4.69436800323506,52.3065406591857
1164154,Ulmus,Monumentale Boom,1971,Egelantierstraat,Badhoevedorp,"114798,456","483025,043",4.79739682632389,52.333679053479
933597,Quercus robur,Monumentale Boom,1950,Wieger Bruinlaan,Hoofddorp,"108174,746","480185,853",4.70061908197482,52.30763976766
890954,Platanus x hispanica,Waardevolle Boom,1969,Parklaan,Hoofddorp,"108017,31","479793,099",4.69836543465553,52.3040966710198
889042,Platanus x hispanica,Waardevolle Boom,1969,Parklaan,Hoofddorp,"107998,657","479809,729",4.6980896589338,52.3042445350602
878893,Platanus x hispanica,Waardevolle Boom,1969,Parklaan,Hoofddorp,"107956,14","479848,638",4.69746091880365,52.3045905841896
932659,Salix x sepulcralis 'Chysocoma',Monumentale Boom,1935,Wandelbos Hoofddorp,Hoofddorp,"108341,417","479246,881",4.70319243384614,52.299215313724
843090,Fagus sylvatica,Monumentale Boom,1895,Hoofdweg,Hoofddorp,"107553,958","479907,575",4.691556397727,52.3050857747699
1095139,Tilia cordata,Monumentale Boom,1955,Generaal Snijdersplnts,Badhoevedorp,"114302,034","483402,871",4.79006849956878,52.3370381623793
845962,Tilia x europaea,Monumentale Boom,1963,Hoofdweg,Hoofddorp,"107481,781","479810,716",4.69051184950808,52.3042090811973
847798,Tilia platyphyllos,Monumentale Boom,1945,Fortweg,Hoofddorp,"107422,142","479977,143",4.68961407283079,52.3056996200772
847833,Tilia platyphyllos,Monumentale Boom,1945,Fortweg,Hoofddorp,"107464,116","480022,973",4.69022300429787,52.306115117769
850486,Tilia platyphyllos,Monumentale Boom,1945,Kruislaan,Hoofddorp,"107502,51","479857,46",4.69080917519553,52.3046309579488
839872,Tilia platyphyllos,Monumentale Boom,1945,Fortweg,Hoofddorp,"107407,16","479949,514",4.68939831433709,52.3054500238308
1095140,Tilia cordata,Waardevolle Boom,1965,Generaal Snijdersplnts,Badhoevedorp,"114298,043","483380,721",4.79001261880454,52.336838803037
1099489,Tilia cordata,Monumentale Boom,1955,Generaal Snijdersplnts,Badhoevedorp,"114328,166","483341,635",4.79045928197979,52.3364897593903
351983,Tilia tomentosa,Gedenkboom,1992,Rietkraag,Beinsdorp,"101030,655","477930,34",4.59623672889943,52.286716378171
1022240,Salix x sepulcralis 'Chysocoma',Monumentale Boom,1958,Lijsterbeslaan,Zwanenburg,"111614,069","487485,91",4.75010631364002,52.3735271880548
846291,Salix x sepulcralis 'Chysocoma',Monumentale Boom,1935,Hoofdweg,Hoofddorp,"107591,482","479929,333",4.69210347605783,52.3052845439273
876979,Salix alba,Monumentale Boom,1950,Graan voor Visch,Hoofddorp,"107041,098","479185,605",4.6841399466284,52.2985530179095
934169,Salix x sepulcralis 'Chysocoma',Monumentale Boom,1935,Wandelbos Hoofddorp,Hoofddorp,"108320,694","479267,258",4.70288584277418,52.299396688474
847799,Tilia platyphyllos,Monumentale Boom,1945,Fortweg,Hoofddorp,"107430,585","479975,573",4.68973807668507,52.305686239299
843089,Quercus rubra,Monumentale Boom,1935,Hoofdweg,Hoofddorp,"107568,35","479908,321",4.6917672911768,52.3050937179684
